Item,Populate,For six cards,Designator,,Value,Package,,MPN,DigiKey
1,8,48,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",TRANSISTOR,"BIP,40V",SOT23,ON SEMI.,MMBT4401LT1G,MMBT4401LT1GOSCT-ND
2,8,48,"R9,R10,R11,R12,R17,R18, R19,R20",RESISTOR,"1.0K,1%",0603,ROHM,ESR03EZPF1001,RHM1.00KADCT-ND
3,8,48,"R1,R2,R3,R4,R5,R6,R7,R8",RESISTOR,"10.0K,1%",0603,ROHM,KTR03EZPF1002,RHM10.0KAYCT-ND
4,8,48,"LED1,LED2,LED3,LED4,LED5, LED6,LED7,LED8",LED,GREEN,0805,OSRAM,LG R971-KN-1,475-1410-1-ND
5,1,6,TB1,TB,"2PIN,5MM","TH,RA",ON SHORE TECH,OSTTC022162,ED2609-ND
6,5,30,"C1,C2,C3,C4,C5",CAPACITOR,"10UF,16V,CER",0805,MURATA,GRM21BR61C106KE15K,490-6473-1-ND
7,4,24,"X1,X2,X3,X4","HEADER,","8PIN,SRV,FEMALE,0.1inch",TH,SULLINS,PPTC081LFBN-RC,S7006-ND
8,1,6,SW1,DIP SWITCH, 4 POS,SMT,CTS Electro,219-4MSTR,CT3117CT-ND
9,8,48,"K2,K3,K4,K5,K6,K7,K8,K9",RELAY,"SPST,1A",SMT,OMRON,G6L-1F DC5,Z1232-ND
10,8,48,"D1,D2,D3,D4,D5,D6,D7,D8",DIODE,",200mA,75V",SOT23-123,ON SEMI,BAS16LT1G,BAS16LT1GOSCT-ND
11,4,24,"TB2,TB3,TB4,TB5",TB,"8PIN,5MM","TH,RA",ON SHORE TECH,OSTTC082162,ED2615-ND
12,8,48,"R13,R14,R15,R16, R21,R22,R23,R24 ",RESISTOR,"270,5%",0805,PANASONIC,ERJ-6GEYJ271V,P270ACT-ND